,Brand,Ram,Processor,Storage,Screen Size,Operating System,Price
405,acer,16,Intel Core i7 Processor,"1 TB HDD, 512 GB SSD",39.62,Windows 10,96490
406,Infinix,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,37990
407,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
408,MSI,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,74990
409,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,51990
410,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
411,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
412,ASUS,8,AMD Ryzen 5 Hexa Core Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,71345
413,ASUS,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,101490
414,MSI,32,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,274990
415,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,199990
416,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
417,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
418,DELL,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 10,41090
419,Lenovo,8,Intel Core i5 Processor,256 GB SSD,39.62,Windows 10,50499
420,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
421,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
422,HP,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,40.89,Windows 11,78950
423,Lenovo,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,35.56,Windows 11,67990
424,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,187990
425,Lenovo,16,Intel Core i7 Processor,1 TB SSD,35.56,Windows 10,102990
426,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
427,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
428,ASUS,4,Intel Core i3 Processor,256 GB SSD,39.62,DOS,35990
429,HP,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 10,52575
430,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
431,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
432,DELL,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,50990
433,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,60125
434,Lenovo,4,Intel Celeron Dual Core Processor,256 GB SSD,29.46,Windows 10,26490
435,HP,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,40.89,Windows 11,80249
436,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
437,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
438,acer,8,Intel Core i5 Processor,"1 TB HDD, 128 GB SSD",39.62,Windows 10,129999
439,ASUS,8,AMD Ryzen 7 Octa Core Processor,1 TB SSD,35.56,Windows 10,76990
440,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
441,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
442,ASUS,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 10,36990
443,MSI,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 10,107790
444,DELL,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,75990
445,ASUS,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,95990
446,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
447,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
448,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,61999
449,HP,8,Intel Celeron Dual Core Processor,256 GB SSD,35.56,Windows 11,28990
450,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
451,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
452,Lenovo,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,54990
453,ASUS,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,56990
454,ASUS,8,Intel Core i5 Processor,256 GB SSD,35.56,Windows 11,45990
455,ASUS,8,Intel Core i3 Processor,512 GB SSD,35.81,Windows 11,38216
456,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
457,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
458,MSI,8,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,79990
459,DELL,4,Intel Core i3 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,43990
460,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
461,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
462,HP,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,40.89,Windows 11,108250
463,ASUS,4,Intel Core i3 Processor,1 TB HDD,39.62,Windows 10,28990
464,MSI,32,Intel Core i9 Processor,2 TB SSD,43.94,Windows 11,389990
465,DELL,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,67224
466,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
